entity,example,slot,type,norm,body-josa,WHAT-GEN,WHY,HOW-CURE
BLOOD,피가 나다,<BLOOD_FEATURE>,SYMPTOM,피가 나,에,<BODY_FEATURE> 피가 나시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 피가 나는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 출혈이 나는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 피가 나시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 피가 나는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 출혈이 나는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 피가 나시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 피가 나는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 출혈이 나는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
WRINKLE,주름지다,<WRINKLE_FEATURE>,SYMPTOM,주름이 지,에,<BODY_FEATURE> 주름이 지셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 주름이 잡히는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 주름이 생기는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 주름이 지셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 주름이 잡히는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 주름이 생기는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 주름이 지셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 주름이 잡히는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 주름이 생기는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
SOLID,딱딱하다,<SOLID_FEATURE>,SYMPTOM,굳어지,에,<BODY_FEATURE> 단단해지는 증상이 있으시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 딱딱해지는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 굳어지는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 단단해지는 증상이 있으시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 딱딱해지는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 굳어지는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 단단해지는 증상이 있으시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 딱딱해지는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 굳어지는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
HAIR-LOSS,털빠짐,<HAIR-LOSS_FEATURE>,SYMPTOM,털이 빠지,에,<BODY_FEATURE> 털이 많이 빠지셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 털빠짐이 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 탈모 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 털이 많이 빠지셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 털빠짐이 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 탈모 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 털이 많이 빠지셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 털빠짐이 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 탈모 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
CHANGE-COLOR,변색,<CHANGE-COLOR_FEATURE>,SYMPTOM,변색이 진행되,에,<BODY_FEATURE> 변색이 진행되셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 색이 변하는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 색소침착이 생기는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 변색이 진행되셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 색이 변하는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 색소침착이 생기는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 변색이 진행되셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 색이 변하는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 색소침착이 생기는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
GROW-HAIR,털남,<HAIR-GROW_FEATURE>,SYMPTOM,털이 자라,에,<BODY_FEATURE> 털이 많이 자라셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 털이 많이 생기는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 털이 많이 자라는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 털이 많이 자라셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 털이 많이 생기는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 털이 많이 자라는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 털이 많이 자라셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 털이 많이 생기는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 털이 많이 자라는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLOR-BLACK,검정색으로 변함,<COLOR-BLACK_FEATURE>,SYMPTOM,검게 변하,<가>,<BODY_FEATURE> 검게 변하는 증상이 있으시군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 까맣게 되는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 까맣게 변하는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 검게 변하는 증상이 있으시군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 까맣게 되는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 까맣게 변하는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 검게 변하는 증상이 있으시군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 까맣게 되는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 까맣게 변하는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLOR-WHITE,하얀색으로 변함,<COLOR-WHITE_FEATURE>,SYMPTOM,하얗게 변하,<가>,<BODY_FEATURE> 하얗게 변하셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 하얗게 변하는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 희게 변하는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 하얗게 변하셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 하얗게 변하는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 희게 변하는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 하얗게 변하셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 하얗게 변하는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 희게 변하는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLOR-YELLOW,노란색으로 변함,<COLOR-YELLOW_FEATURE>,SYMPTOM,노랗게 변하,<가>,<BODY_FEATURE> 노랗게 변하셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 누렇게 변하는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 노란빛을 띄는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 노랗게 변하셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 누렇게 변하는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 노란빛을 띄는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 노랗게 변하셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 누렇게 변하는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 노란빛을 띄는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLOR-BLUE,파란색으로 변함,<COLOR-BLUE_FEATURE>,SYMPTOM,푸르스름하게 변하,<가>,<BODY_FEATURE> 푸르스름하게 변하셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 시퍼렇게 변하는 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 파란빛을 띄는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 푸르스름하게 변하셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 시퍼렇게 변하는 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 파란빛을 띄는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 푸르스름하게 변하셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 시퍼렇게 변하는 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 파란빛을 띄는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
COLOR-RED,빨간색으로 변함,<COLOR-RED_FEATURE>,SYMPTOM,붉게 변하,<가>,<BODY_FEATURE> 붉게 변하셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 홍조가 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 붉은 빛을 띄는 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 붉게 변하셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 홍조가 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 붉은 빛을 띄는 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 붉게 변하셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 홍조가 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 붉은 빛을 띄는 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
SOMETHING,뭔가 생겨남,<SOMETHING_FEATURE>,SYMPTOM,뭔가 생기,에,<BODY_FEATURE> 뭔가 생기셨군요. 병명에 대해 알려드릴게요. / <BODY_FEATURE> 트러블이 생긴 증상이 궁금하시군요. 관련된 병명을 찾아드릴게요. / <BODY_FEATURE> 트러블이 생긴 증상과 관련된 병이 궁금하시군요. 관련된 내용을 찾아드릴게요.,<BODY_FEATURE> 뭔가 생기셨군요. 원인에 대해 알려드릴게요. / <BODY_FEATURE> 트러블이 생긴 원인이 궁금하시군요. 원인에 대해 설명드릴게요. / <BODY_FEATURE> 트러블이 생긴 증상의 원인을 찾고 계시는군요. 관련 내용을 찾아드릴게요.,<BODY_FEATURE> 뭔가 생기셨군요. 치료법에 대해 알려드릴게요. / <BODY_FEATURE> 트러블이 생긴 증상의 치료법이 궁금하시군요. 관련 내용 찾아드릴게요. / <BODY_FEATURE> 트러블이 생긴 증상을 치료 받고 싶으시군요. 치료법에 대해 알려드릴게요.
INGROWING-NAIL,내성 발톱,<DISEASE_FEATURE>,DISEASE,내성 발톱,NONE,NONE,NONE,NONE
SCABIES,옴,<DISEASE_FEATURE>,DISEASE,옴,NONE,NONE,NONE,NONE
PARONYCHIA,조갑주위염,<DISEASE_FEATURE>,DISEASE,조갑주위염,NONE,NONE,NONE,NONE
NAIL-ABNORMALITY,손발톱 이상,<DISEASE_FEATURE>,DISEASE,손발톱 이상,NONE,NONE,NONE,NONE
PILONIDAL-SINUS,모소동,<DISEASE_FEATURE>,DISEASE,모소동,NONE,NONE,NONE,NONE
HYPERTRICHOSIS,다모증,<DISEASE_FEATURE>,DISEASE,다모증,NONE,NONE,NONE,NONE
BALDNESS,탈모증,<DISEASE_FEATURE>,DISEASE,탈모증,NONE,NONE,NONE,NONE
BURNS,화상,<DISEASE_FEATURE>,DISEASE,화상,NONE,NONE,NONE,NONE
HERPES,헤르페스,<DISEASE_FEATURE>,DISEASE,헤르페스,NONE,NONE,NONE,NONE
MOLLUSCUM-CONTAGIOSUM,전염성 연속증,<DISEASE_FEATURE>,DISEASE,전염성 연속증,NONE,NONE,NONE,NONE
TINEA-VERSICOLOR,어루러기,<DISEASE_FEATURE>,DISEASE,어루러기,NONE,NONE,NONE,NONE
RINGWORM,백선,<DISEASE_FEATURE>,DISEASE,백선,NONE,NONE,NONE,NONE
CELLULITIS,봉와직염,<DISEASE_FEATURE>,DISEASE,봉와직염,NONE,NONE,NONE,NONE
FOLLICULITIS,모낭염,<DISEASE_FEATURE>,DISEASE,모낭염,NONE,NONE,NONE,NONE
IMPETIGO,농가진,<DISEASE_FEATURE>,DISEASE,농가진,NONE,NONE,NONE,NONE
BED-SORE,욕창,<DISEASE_FEATURE>,DISEASE,욕창,NONE,NONE,NONE,NONE
LEG-ULCERS,하지 궤양,<DISEASE_FEATURE>,DISEASE,하지 궤양,NONE,NONE,NONE,NONE
CHILBLAIN,동창,<DISEASE_FEATURE>,DISEASE,동창,NONE,NONE,NONE,NONE
KELOID,켈로이드,<DISEASE_FEATURE>,DISEASE,켈로이드,NONE,NONE,NONE,NONE
VITILIGO,백반증,<DISEASE_FEATURE>,DISEASE,백반증,NONE,NONE,NONE,NONE
EPIDERMALCYST,피지 낭종,<DISEASE_FEATURE>,DISEASE,피지 낭종,NONE,NONE,NONE,NONE
SEBORRHEIC-KERATOSIS,지루 각화증,<DISEASE_FEATURE>,DISEASE,지루 각화증,NONE,NONE,NONE,NONE
SKIN-TAG,쥐젖,<DISEASE_FEATURE>,DISEASE,쥐젖,NONE,NONE,NONE,NONE
ERYTHEMA-NODOSUM,결절 홍반,<DISEASE_FEATURE>,DISEASE,결절 홍반,NONE,NONE,NONE,NONE
DISCOID-LUPUS,원판상 루푸스,<DISEASE_FEATURE>,DISEASE,원판상 루푸스,NONE,NONE,NONE,NONE
ACTINIC-KERATOSIS,광선 각화증,<DISEASE_FEATURE>,DISEASE,광선 각화증,NONE,NONE,NONE,NONE
SKIN-CANCER,피부암,<DISEASE_FEATURE>,DISEASE,피부암,NONE,NONE,NONE,NONE
HYPERHYDROSIS,다한증,<DISEASE_FEATURE>,DISEASE,다한증,NONE,NONE,NONE,NONE
HEAT-RASH,땀띠,<DISEASE_FEATURE>,DISEASE,땀띠,NONE,NONE,NONE,NONE
ROSACEA,주사,<DISEASE_FEATURE>,DISEASE,주사,NONE,NONE,NONE,NONE
PURPURA,자반증,<DISEASE_FEATURE>,DISEASE,자반증,NONE,NONE,NONE,NONE
PHOTOSENSITIVE,광과민성,<DISEASE_FEATURE>,DISEASE,광과민성,NONE,NONE,NONE,NONE
ERYTHEMA-MULTIFORME,다형 홍반,<DISEASE_FEATURE>,DISEASE,다형 홍반,NONE,NONE,NONE,NONE
LICHEN-PLANUS,편평 태선,<DISEASE_FEATURE>,DISEASE,편평 태선,NONE,NONE,NONE,NONE
PITYRIASIS-ROSEA,장미색 잔비늘증,<DISEASE_FEATURE>,DISEASE,장미색 잔비늘증,NONE,NONE,NONE,NONE
SEBORRHEIC-DERMATITIS,지루성 피부염,<DISEASE_FEATURE>,DISEASE,지루성 피부염,NONE,NONE,NONE,NONE
CONTACT-DERMATITIS,접촉성 피부염,<DISEASE_FEATURE>,DISEASE,접촉성 피부염,NONE,NONE,NONE,NONE
ATOPY,아토피,<DISEASE_FEATURE>,DISEASE,아토피,NONE,NONE,NONE,NONE
PSORIASIS,건선,<DISEASE_FEATURE>,DISEASE,건선,NONE,NONE,NONE,NONE
ACNE,여드름,<DISEASE_FEATURE>,DISEASE,여드름,NONE,NONE,NONE,NONE
ATHLETE-FOOT,무좀,<DISEASE_FEATURE>,DISEASE,무좀,NONE,NONE,NONE,NONE
NAIL,손발톱,<BODY_FEATURE>,BODY,손발톱,NONE,NONE,NONE,NONE
EYE,눈 주변,<BODY_FEATURE>,BODY,눈 주변,NONE,NONE,NONE,NONE
ALL-BODY,온몸,<BODY_FEATURE>,BODY,온몸,NONE,NONE,NONE,NONE
ARMPIT,겨드랑이,<BODY_FEATURE>,BODY,겨드랑이,NONE,NONE,NONE,NONE
ARM,팔,<BODY_FEATURE>,BODY,팔,NONE,NONE,NONE,NONE
SKIN,피부,<BODY_FEATURE>,BODY,피부,NONE,NONE,NONE,NONE
MOUSE,입 주변,<BODY_FEATURE>,BODY,입 주변,NONE,NONE,NONE,NONE
CHIN,턱,<BODY_FEATURE>,BODY,턱,NONE,NONE,NONE,NONE
EAR,귀 주변,<BODY_FEATURE>,BODY,귀 주변,NONE,NONE,NONE,NONE
HIP,엉덩이,<BODY_FEATURE>,BODY,엉덩이,NONE,NONE,NONE,NONE
WAIST,허리,<BODY_FEATURE>,BODY,허리,NONE,NONE,NONE,NONE
GROIN,사타구니,<BODY_FEATURE>,BODY,사타구니,NONE,NONE,NONE,NONE
CHEST,가슴,<BODY_FEATURE>,BODY,가슴,NONE,NONE,NONE,NONE
AB,배,<BODY_FEATURE>,BODY,배,NONE,NONE,NONE,NONE
BACK,등,<BODY_FEATURE>,BODY,등,NONE,NONE,NONE,NONE
SHOULDER,어깨,<BODY_FEATURE>,BODY,어깨,NONE,NONE,NONE,NONE
LEG,다리,<BODY_FEATURE>,BODY,다리,NONE,NONE,NONE,NONE
HEAD,머리,<BODY_FEATURE>,BODY,머리,NONE,NONE,NONE,NONE
NECK,목,<BODY_FEATURE>,BODY,목,NONE,NONE,NONE,NONE
FACE,얼굴,<BODY_FEATURE>,BODY,얼굴,NONE,NONE,NONE,NONE
HAND,손,<BODY_FEATURE>,BODY,손,NONE,NONE,NONE,NONE
FOOT,발,<BODY_FEATURE>,BODY,발,NONE,NONE,NONE,NONE
NOSE,코,<BODY_FEATURE>,BODY,코,NONE,NONE,NONE,NONE
